"Orthogroup"	"Kluyveromyces_marxianus_DMKU3_1042"	"Saccharomyces_cerevisiaeS288c"	"Scheffersomyces_stipitis_CBS6054"	"Schizosaccharomyces_pombe_972"
"OG0000016"	""	"P53111 P53183 Q03049 Q12068"	"A3GH15 A3LN54 A3LNV4 A3LRZ1 A3LS83 A3LTD2 A3LWG4 A3LWY5 A3LZM3"	"O94563 Q9UT59"
"OG0000019"	"W0T243 W0T2J4 W0T5P5 W0T9S7 W0TBB2 W0TCW3"	"P25596 P36173 P38724 P38731 P39980"	"A3LTX3 A3M0G7"	"O74395"
"OG0000020"	"W0T5M8 W0TAL8 W0THY0"	"P09435 P10591 P10592 P16474 P22202"	"A3GGW0 A3LN25 A3LXD9"	"O59855 P36604 Q10265"
"OG0000022"	"W0T748 W0T988 W0TB15"	"P26570 P32598 P32945 P33329"	"A3LRI5 A3LXT3 A3LZ03"	"P13681 P23880 P78968"
"OG0000023"	"W0T2M3 W0T5J4 W0T6W4"	"P08458 P27636 P38692"	"A3GG46 A3LT13 A3LXL6"	"O14047 O14305 O75011 P41892"
"OG0000025"	"W0T6V6 W0T6Y7 W0TCF1 W0TEB4"	"P22211 Q08732 Q12100"	"A3LNI9 A3LNL7 A3LYQ9"	"O59763 Q09792"
"OG0000026"	"W0T6R6 W0T790 W0TBH0 W0TKD3"	"P22580"	"A3GGC6 A3LT70 A3LWM3 A3LY54 A3LY55"	"O59805 Q8TFF9"
"OG0000027"	"W0T9E0 W0T9I5 W0TG93"	"P00358 P00359 P00360"	"A3LNP7 A3LQ70 A3LZP1 A3LZZ7"	"O43026 P78958"
"OG0000028"	"W0TBY6 W0TCA0 W0TCK6 W0TIS9"	"P14832 P25334 P25719 P35176"	"A3LPG3 A3LQ11"	"O94273 P18253"
"OG0000029"	"W0TBQ7"	"P26343 P42944 P43574"	"A3GF27 A3GHQ9 A3LNU1 A3LQX5 A3LRW7"	"Q10134 Q10280 Q9UTM5"
"OG0000030"	"W0T6L6 W0T8W4 W0TEZ4"	"P06169 P16467 P26263 Q06408"	"A3GF21 A3GGL8 A3LXV3"	"O42873 Q09737"
"OG0000032"	"W0T614"	"P25606 P25607 P25657 P32319 P40438 P40890 P53751 P53752"	"A3GHY0"	"O42930"
"OG0000033"	"W0T723 W0TBC6 W0TDP8 W0TG45"	"P00330 P00331 P07246 P38113"	"O00097 O13309"	"P00332"
"OG0000035"	"W0T5C5"	"P19145"	"A3GF84 A3GGY0 A3GHU4 A3LNV7 A3LNX9 A3LVE5 A3LVM7 A3LWY1 A3LZA0"	""
"OG0000036"	"W0T4B4 W0TCN1"	"P08459 P25380 P38248 Q12355"	"A3GHV6 A3LVQ4 A3LXH2"	"O13960 O74411"
"OG0000037"	"W0TFW9"	"P0CX77 P0CX78 P0CX79 P0CZ17 P38986"	"A3GI76"	"P87015 Q8NKC0 Q8TFF8 Q9UTS7"
"OG0000038"	"W0TDH9 W0THG6"	"P38631 P40989 Q04952"	"A3GFC1 A3LR89"	"O13967 O74475 Q10287 Q9P377"
"OG0000039"	"W0T5U6 W0T6G0"	"P39970 P40535 Q02100"	"A3LX58 A3LYL5"	"P52890 P78962 Q09771 Q09926"
"OG0000041"	"W0TEC5 W0TGQ6"	"P23291 P23292 P39962"	"A3LPX9 A3LTS9"	"O74135 P40233 P40234"
"OG0000042"	"W0TDA7 W0TEM2"	"P40559 P50942 Q12271"	"A3LSB9 A3LU18"	"O14306 O43001 Q9USQ6"
"OG0000043"	"W0T923 W0TCP6"	"P39719 P53121 Q08844 Q08967"	"A3LUF4 A3LYX1"	"O74520 Q09917"
"OG0000044"	"W0T8Z6 W0TES3"	"P25349 P38234 Q12335"	"A3LTQ8 A3LTQ9 A3M050 A3M051"	"P30821"
"OG0000045"	"W0TGU0 W0TI90"	"P36135 P40472 P46955 P53616"	"A3GI30 A3LUX4"	"O43015 Q9UR09"
"OG0000046"	"W0TEM0 W0TG44"	"P23594 P23595 P32838"	"A3GF50 A3LP07"	"P23635 P23636 Q10298"
"OG0000047"	"W0T8W9 W0T9F6"	"P09007 P40209 P40569 Q02710 Q07928"	"A3GFZ7 A3LTH9 A3LWU0"	""
"OG0000048"	"W0T6N5 W0T6Q2"	"P00635 P24031 P35842 P38693 P52290"	"A3LUP9 A3LV80 A3LV81"	""
"OG0000049"	"W0T4E8 W0TBP1"	"P08004 P14180"	"A3GGS0 A3LP35 A3LSA7 A3LTP9"	"O74756 P30597"
"OG0000050"	"W0TBA3 W0TD05 W0TFN7 W0TJP5"	"P32478 Q03178 Q03180"	"A3LN07 A3LU05 A3LWS2"	""
"OG0000051"	"W0T3V0 W0TB39 W0TDS2"	"P33302 P51533 Q04182"	"A3LMR6 A3LTM4 A3LUN9 A3LZU3"	""
"OG0000053"	"W0T892 W0TAY1"	"P32323 Q12127"	"A3GGN6 A3GGP1 A3LRV7 A3LSW6 A3LU41 A3LU42"	""
"OG0000054"	"W0T4J7 W0T9U5"	"P14772 P39109"	"A3LPF9 A3LYW5"	"Q10185 Q92337 Q9P5N0 Q9P7V2"
"OG0000055"	"W0T4T7"	"P41930"	"A3LQU9 A3LS26 A3LS27 A3LS28"	"P0CT94 P0CT95 P0CT96 P0CT97"
"OG0000057"	""	"O13511 P0CI67 P0CX91 P32768 P36170 P38894 P39712 P43552 Q6B2U8"	"A3LUP7"	""
"OG0000061"	"W0T3F1 W0TB07 W0TB65 W0TDI3"	"P38141 P39001"	"A3GFY7 A3GHG9 A3LQH7"	""
"OG0000062"	"W0T975 W0TD57"	"P43634 P47988"	"A3LUP0"	"G2TRN9 O74541 O74915 Q9P6I9"
"OG0000063"	"W0T5I2 W0T969 W0T9X3 W0TA82 W0TB18"	"Q12145 Q12531"	"A3LU06"	"Q9UTA1"
"OG0000064"	"W0T633 W0T947"	"P14065 Q12458"	"A3LRU9 A3LSD4 A3LZK0"	"O42888 Q10494"
"OG0000065"	"W0T346 W0T9J8"	"Q05497"	"A3GID3 A3LMV7 A3LX79"	"Q10085 Q9USK3 Q9UT92"
"OG0000066"	"W0T6F3 W0TC05 W0TFY5 W0TI79"	"P27810 P38130"	"A3LNY8 A3LNY9"	"O60160"
"OG0000067"	"W0T7W5 W0TA27 W0TD96"	"P38778 P38925 Q12078"	"A3LMV3 A3LYD2"	"Q10177"
"OG0000068"	"W0TAH6 W0THH8"	"P36091 Q05031"	"A3LMV8 A3LN37"	"O74556 Q9P6I3 Q9P6I4"
"OG0000069"	"W0T4R8 W0TAH4"	"P34250 P53741 Q04279"	"A3LQ42 A3LRK2 A3LYM9"	"O94260"
"OG0000070"	"W0T7P7 W0T9F7"	"P25656 P42838 P53740"	"A3GG49 A3LRK1"	"Q1MTQ5 Q96WW4"
"OG0000071"	"W0T9H2 W0TEK3"	"P53202 Q12018"	"A3GH14 A3LP00"	"O13790 O14122 Q09760"
"OG0000072"	"W0T5X1 W0TIB4"	"Q03306 Q03407 Q12236"	"A3GHY6 A3LUT3"	"Q12701 Q9Y7J6"
"OG0000073"	"W0T963"	"Q02895"	"A3GG78 A3GGR3 A3GH10 A3LU21 A3LW44"	"G2TRN6 Q9P7U2"
"OG0000074"	"W0T5Z4 W0TB94 W0THH7"	"P36017 P36018 P36019"	"A3GGS8 A3LZ12"	"P36586"
"OG0000075"	"W0T4U4 W0TEC8"	"P53753 Q12168"	"A3LRE0 A3LWL8 A3M026"	"Q09850 Q9UT45"
"OG0000076"	"W0T2Q5 W0T5B8"	"P25389 P34244 Q12263"	"A3LNK1 A3LVN1"	"P07334 P87050"
"OG0000077"	"W0T645 W0TGK9"	"P05316 P38196 Q04895"	"A3LNV9 A3LYG9"	"O14035 Q10279"
"OG0000078"	"W0T4A9 W0TBQ6"	"P56508 P87284"	"A3LMS1 A3LU12 A3LZ75"	"O74837 Q9C1W4"
"OG0000079"	"W0TBT4 W0TFU2 W0TI55"	"P22146 Q06135"	"A3GFB9 A3LR83 A3LS97"	"Q9P378"
"OG0000080"	"W0T4H6 W0T4X7"	"P40450 P41832"	"A3GHT1 A3LZQ9"	"O94532 Q10059 Q10719"
"OG0000081"	"W0T703 W0T7L8"	"P02400 P05319"	"A3GHH7 A3LSH5"	"O14317 P08094 P17478"
"OG0000082"	"W0T9L2 W0TGK2"	"Q08268 Q08777"	"A3GGF8 A3LPQ4 A3LQJ6 A3LUM2 A3LZP0"	""
"OG0000083"	"W0T8F8 W0TBN1 W0TCX8"	"P40047 P46367 P54115"	"A3LNE3"	"O14293 O59808"
"OG0000084"	"W0T4I3 W0TCV3"	"P27705 P39943 P53035"	"A3LVN8 A3LYJ9"	"O14335 Q9P7D9"
"OG0000085"	"W0TCW2"	"Q12358"	"A3GHA6 A3GHP4 A3GHP5 A3LN08 A3LSI1 A3M0Q0"	"B5BP48"
"OG0000086"	"W0T8C6 W0TDQ9"	"P05318 P10622"	"A3LPG9 A3LX37"	"P17476 P17477 Q9UU78"
"OG0000087"	"W0T707 W0T9K5"	"P32831 Q00539"	"A3GHN7 A3LYF9"	"O13759 O60176 O94621"
"OG0000088"	"W0TC45"	"Q04322 Q12344"	"A3LNF9 A3LRK5 A3LZ48"	"O94419 Q10496 Q9Y7J5"
"OG0000089"	"W0T8Q6"	"P53059 P53745"	"A3GG16 A3LNG5 A3LNG6 A3LNX8 A3LP66 A3LRT9"	""
"OG0000090"	""	"P25351"	"A3GGH0 A3GGH1 A3LRD8 A3LU73 A3LV20 A3LV21 A3LVX6 A3LXG2"	""
"OG0000094"	"W0T3I1 W0T533 W0T7U4 W0TCZ7 W0TFS5"	"P43562"	"A3GHT3 A3LQQ5"	""
"OG0000095"	"W0TFK5 W0TG97"	"P38063 P38620 P38689"	"A3GG91 A3LTI2"	"O94413"
"OG0000096"	"W0T4B5 W0TB55"	"P32336 P36047"	"A3LUI8 A3M0J6"	"O74473 P22194"
"OG0000098"	"W0T597 W0T6G4 W0T812"	"P36110 P47032 P47033"	"A3LWR6 A3LWS7"	""
"OG0000099"	"W0T7Z7 W0TGM9"	"P53935 Q12495"	"A3LYI0 A3GGG7"	"Q09863 Q1MTN9"
"OG0000100"	"W0TGV8"	"P02994"	"A3LQC6"	"O74774 P0CT53 P0CT54 P0CT55 Q9UT10"
"OG0000101"	"W0T984 W0TE20"	"P33748 P33749 P39959"	"A3LYR7 A3LYY2"	"Q10076"
"OG0000102"	"W0TER7 W0TFS0"	"P22082 P32597"	"A3LTF0 A3LZW6"	"O94421 Q9UTN6"
"OG0000103"	"W0T415 W0T5F3"	"P40215 Q07500"	"A3GHE2"	"O14121 O43090 Q10499"
"OG0000104"	"W0T3U4 W0T9Y6"	"P38819 P53198 Q05359"	"A3LP32 A3LQG0"	"O14324"
"OG0000105"	"W0T8Z8 W0TBT3"	"P31382 P42934 P47190"	"A3GH56 A3LQ72"	"Q9C100"
"OG0000106"	"W0T5I6 W0TBD2"	"P14843 P32449"	"A3GG00 A3LTF4"	"Q09755 Q9UT09"
"OG0000107"	"W0T9S4 W0TFF3"	"P38626 Q04516 Q12746"	"A3GF86 A3LTP3"	"O74557"
"OG0000108"	"W0T3J8 W0T514"	"P10081 Q12099"	"A3GFI4 A3GFV3"	"P47943 Q10055"
"OG0000109"	"W0T989 W0TIJ0"	"P34218 Q08649"	"A3LNI3 A3M0I3"	"O94446 Q10325"
"OG0000110"	"W0TBI1 W0TEG4"	"P21954 P41939 P53982"	"A3LR11 A3LT36"	"O14254"
"OG0000111"	"W0TDY6 W0TGF8"	"P37298 Q06236 Q08749"	"A3LQM9 A3LXI3"	"Q9P7X0"
"OG0000112"	"W0T868 W0TFY4"	"P47130 Q08231"	"A3LPN7 A3LVS6"	"O13873 Q9Y820"
"OG0000113"	"W0TB38 W0TEI6 W0TFS2"	"P38993 P43561"	"A3LUT9 A3LZE5"	"Q09920"
"OG0000114"	"W0T6S6 W0TF11"	"P37291 P37292"	"A3LRJ3 A3LY87"	"O13972 Q10104"
"OG0000115"	"W0TJW0"	"P40494 P53974"	"A3LR33 A3LW96"	"O43066 Q9USS2 Q9UU85"
"OG0000116"	"W0T586 W0TH15"	"P06780 Q00246"	"A3GHC3 A3LQX7"	"Q09914 Q9HE04"
"OG0000117"	"W0T3S0 W0T933 W0TF03"	"P25376 P38084 P41815 P48813"	"A3LUT5"	""
"OG0000118"	"W0TF65 W0THA1"	"P38176 P40074 P40501"	"A3LN92 A3LTB1"	"O74327"
"OG0000119"	"W0T651 W0TE04"	"P38219 P38746"	"A3GG17 A3M0J8"	"O13998 O14078"
"OG0000120"	"W0T845 W0TBA0"	"P05986 P06244 P06245"	"A3LPK9 A3LYD5"	"P40376"
"OG0000121"	"W0T6D2 W0TCI5"	"P39988 P53727"	"A3GFS4 A3LV36"	"O14242 O74860"
"OG0000122"	"W0TCV1 W0TDH5"	"P38691 P53233"	"A3LUW3 A3LWU1"	"O14328 O74426"
"OG0000123"	"W0T685 W0T7F8"	"P32458 Q04921"	"A3LVQ1 A3LZI1"	"O60165 P48008"
"OG0000124"	"W0TEU0 W0TJS8"	"Q04053 Q07528"	"A3LN32 A3LTP0"	"O60107 Q9USM8"
"OG0000125"	"W0T4F0 W0T5E1"	"P20604 P32345"	"A3LXC5 A3M0C2"	"O74789 P36614"
"OG0000126"	"W0TBT6 W0TEK4"	"P32573"	"A3LZU7 A3LR75 A3LSN6 A3LSY6"	"Q9URX0"
"OG0000127"	"W0T8A2"	"Q06494"	"A3LTP4"	"O14125 O14295 O94315 O94521 Q09923"
"OG0000128"	"W0T2Z0 W0T7K6"	"P19414 P39533"	"A3LY20 A3LYW7"	"O13966 Q9P7D4"
"OG0000129"	"W0TDY4"	"P21538 Q12457"	"A3LXM9"	"O14108 Q10274 Q9P6H9 Q9UUI6"
"OG0000130"	"W0T9G9 W0TD74"	"P32454 P37898"	"A3LTZ6 A3LUJ6 A3LXA5"	"Q9USX1"
"OG0000131"	"W0T5P2 W0TIE1"	"P38696 P60010"	"A3GI55 A3LVF8"	"O94630 P10989"
"OG0000132"	"W0TC54 W0TD92"	"P53118 Q04093 Q12103"	"A3LNP2 A3LZX1"	"O14162"
"OG0000133"	"W0T6V5"	"Q06490 Q08224 Q08975"	"A3LN87"	"O94265 O94266 Q9USL6"
"OG0000134"	"W0T795 W0TJ61"	"P38151 P38199"	"A3LRG0 A3LXP1"	"O74919 Q09848"
"OG0000135"	"W0T5I8 W0TC07"	"P32468 P41901"	"A3LTF2 A3LXG9"	"P48009 Q09883"
"OG0000136"	"W0TGB9 W0TIH2"	"P25302 P39678"	"A3GHD6 A3LRD3"	"P33520 P41412"
"OG0000137"	"W0T3S9 W0TEB3"	"P15365"	"A3GEZ5 A3LNX0 A3LX97"	"O94491 O94572"
"OG0000138"	"W0T3F8"	"P50102"	"A3GI14 A3LW63"	"O74442 Q09738 Q9P7S5 Q9UUD6"
"OG0000139"	"W0TCH3"	"P0CX35 P0CX36"	"A3GFG0 A3LZ47"	"P87158 Q9P4W9 Q9USW5"
"OG0000140"	"W0TG62"	"Q04432 Q04902 Q08914 Q08992"	"A3LUD7"	"O74914 Q09675"
"OG0000141"	"W0T5S2 W0TF29"	"P17157 P43568"	"A3LUB8 A3LXB7"	"O74456 P36615"
"OG0000142"	"W0T4D8 W0T9K2 W0TH74"	"P40897"	"A3LZ49 A3LZ50"	"O14031 P40900"
"OG0000143"	"W0T5M4 W0TH45"	"P00729 P38109"	"A3GFU2 A3LU84 A3LY85"	"O13849"
"OG0000144"	"W0TDG6 W0TK00"	"P25491 P39102"	"A3LZF6 A3M086"	"O74752 O94657"
"OG0000145"	"W0THF8"	"Q12139"	"A3LN49 A3LQ05 A3LQR5 A3LSD3"	"Q9US36 Q9UTS5"
"OG0000146"	"W0T3V7 W0T6K7"	"P04817 P32487 P38971"	"A3LS65 A3LUX3 A3M039"	""
"OG0000147"	"W0T8J2"	"Q03497 Q12469"	"A3LPL1 A3LVI4"	"P50527 Q10056 Q10447"
"OG0000148"	"W0TF18 W0TFC5 W0TGZ3"	"P32837"	"A3GFU3 A3M023"	"Q10087 Q9C0Z0"
"OG0000149"	"W0TBE8 W0TFK4"	"P15180 P32048"	"A3GEX5 A3LSD1"	"O74858 Q9UUE6"
"OG0000150"	"W0TDB4"	"P38853 P50090"	"A3GFB0"	"O13730 O14248 P15258 P87061"
"OG0000151"	"W0T722 W0TH56"	"P27351 P36000"	"A3LWQ6 A3LZW0"	"O43005 O43079"
"OG0000152"	"W0TA66 W0TKH3"	"P28625 P35183 P39945"	"A3LSI7"	"O42909 O94564"
"OG0000153"	"W0T5W7"	"P32486 P33336"	"A3LPU3 A3LPW0 A3LZE4"	"O13789 O13941"
"OG0000154"	"W0T4B6 W0T8V0"	"P38292 P53203 Q06169"	"A3GFP1 A3LMZ2"	"O59807"
"OG0000156"	""	"P38157 P43551 P53338 Q06595"	"A3LQ68 A3LZV0"	"O13658 O60056"
"OG0000164"	"W0T4T1 W0TH25"	"P02293 P02294"	"A3LXE6 A3LZZ1"	"P04913"
"OG0000165"	"W0T664 W0TGP0"	"P14907 P20676"	"A3LN95"	"Q09904 Q10168"
"OG0000166"	"W0T6Q4 W0TGY2"	"P35995 Q06149 Q12172 Q12340"	"A3LWL9"	""
"OG0000167"	"W0T640 W0TAD9 W0TC20"	"P32891"	"A3GEX0 A3GI83 A3LTY9"	""
"OG0000168"	"W0TDJ0 W0TH30"	"P38212 Q03446"	"A3LQQ8 A3LTU2 A3LWM1"	""
"OG0000169"	"W0T7A9 W0TE88"	"P22217 P22803 P25372"	"A3GI91"	"O14463"
"OG0000170"	"W0TEA7 W0TEZ6"	"Q12398"	"A3LUS6 A3LZ80"	"O43019 Q9UUD1"
"OG0000172"	"W0T8D4 W0TD19"	"P0CS90 Q05931"	"A3LPI8 A3LYI6"	"P22774"
"OG0000173"	"W0TFT5 W0THD8 W0TJ94"	"P32901"	"A3LNX1 A3LNX2"	"Q9P380"
"OG0000174"	"W0TBM6"	"P13587 Q01896 Q12691"	"A3GFD3 A3LY53"	"P22189"
"OG0000175"	"W0T7N4 W0T9G8"	"P53012 Q06676"	"A3LRS7 A3LYM5"	"Q9HGM4"
"OG0000176"	"W0T6A2 W0T8T1 W0TB42"	"P28273"	"A3LNC3"	"Q10093 Q10094"
"OG0000177"	"W0TCH0 W0TF42 W0TGL9"	"P27614"	"A3GGI9 A3GGM0"	"O13968"
"OG0000178"	"W0T4G1 W0TFD7"	"P33310 P33311"	"A3LR17 A3LRF7"	"Q9Y7M7"
"OG0000179"	"W0T8L7 W0TAS8"	"P25346"	"A3LTX9 A3LVA4 A3M010"	"O94342"
"OG0000180"	"W0T6Z6 W0TF31"	"P35196 Q03175"	"A3GHZ7 A3LQN4"	"O14171"
"OG0000181"	"W0T285 W0T3Q4"	"P25370 Q04408"	"A3M0M3 A3M0M5"	"O14041"
"OG0000182"	"W0T5B4 W0T834"	"O13563"	"A3LXE3 A3LXE4"	"Q9USM1 Q9Y7Y6"
"OG0000183"	"W0TGJ9 W0TI42"	"P40474 P40475 P53943"	"A3LQL2 A3M085"	""
"OG0000184"	"W0T433"	"P37020"	"A3GHK6 A3LR12 A3LTB3"	"O60159 O94287"
"OG0000185"	"W0TAS1 W0TD78"	"P19073 P53879"	"A3LNM5 A3LQE1"	"Q01112"
"OG0000186"	"W0T5U1 W0T8H2"	"P39955 P40328"	"A3GH07"	"O43078 Q9P3U2"
"OG0000187"	"W0T8E8 W0TA41 W0TAS5 W0TGL1 W0TI53"	"P39720 P52960"	""	""
"OG0000188"	"W0TEI7 W0TGI9"	"P40477 P49686"	"A3GEU8 A3GHH2"	"Q09847"
"OG0000189"	"W0TBV5"	"P0CX45 P0CX46"	"A3GFN6"	"P0CT70 P0CT71 P0CT72"
"OG0000190"	"W0T3M6"	"P46995"	"A3LU80"	"O14026 O60016 Q10103 Q9USK2"
"OG0000191"	"W0TEG0 W0TF68"	"P28240 Q12031"	"A3LRP5 A3LXB5"	"Q9P6J1"
"OG0000192"	"W0T517 W0TBP5"	"P53090"	"A3LMX7"	"O14192 O94570 Q9Y7S6"
"OG0000193"	"W0TDW9 W0TF73"	"Q07589"	"A3GFS5 A3LZF3"	"Q09894 Q9Y7P6"
"OG0000194"	"W0TD08 W0TE03"	"P06208 Q12166"	"A3GFB4 A3LU20"	"O59736"
"OG0000195"	"W0T6B4 W0TGF9"	"P39925 P40341"	"A3LMU7 A3LNZ1"	"Q9HGM3"
"OG0000196"	"W0TEU8 W0TFY2"	"P32389 P40573"	"A3LSF0 A3LYN0"	"Q10424"
"OG0000197"	"W0T7P1 W0TJJ1"	"P53252 Q12230"	"A3GG33 A3LVZ8"	"O74960"
"OG0000198"	"W0T2X2 W0T555"	"Q05015 Q99369"	"A3LVR1"	"O13897 P36591"
"OG0000199"	"W0T3B6 W0T9E4"	"P53322"	"A3LVE8"	"Q10097 Q9P6J0 Q9US44"
"OG0000200"	"W0T2H3 W0TGB8"	"P39529 P40467"	"A3LQW4"	"O59744 O60130"
"OG0000201"	"W0T4V1 W0TE17"	"P39704 Q12403 Q12450"	"A3GGQ3"	"O13770"
"OG0000202"	"W0TFG0"	"P23248 P33442"	"A3LUW5 A3LX67"	"O94438 Q09781"
"OG0000203"	"W0TF62 W0TK55"	"P36062 P50944"	"A3GH88 A3GHQ6"	"Q10074"
"OG0000204"	"W0TAG6"	"P42883 P43534 P47183 Q07748"	"A3LS33"	"P36597"
"OG0000205"	"W0TE99 W0TEY9"	"P09440"	"A3LP93 A3LZQ8"	"O43007 Q8WZJ7"
"OG0000206"	"W0TA57 W0TIE9"	"P06102 Q12514"	"A3LN24 A3LQB9"	"O13870"
"OG0000207"	"W0T7J1"	"P32660 Q12675"	"A3GHD2 A3LZD5"	"O36028 Q09891"
"OG0000208"	"W0T673 W0TFA8"	"P00890 P08679 P43635"	"A3M0F2"	"Q10306"
"OG0000209"	"W0TFJ9 W0TGC2"	"P05738 P51401"	"A3LZW4"	"O74905 Q10232"
"OG0000210"	"W0TAZ5"	"P0C0X0 Q3E7X9"	"A3LQP4 A3LWA3"	"P0CT79 P0CT80"
"OG0000211"	"W0TET1"	"P25042 Q02486"	"A3LQZ7"	"P0CY16 P0CY17 P36631"
"OG0000212"	"W0T7F4 W0T7F6"	"P15790 P19454"	"A3GG63 A3GID5"	"P40231"
"OG0000213"	"W0TAC8"	"P39083 Q06407"	"A3GG86"	"O14014 O74360 Q9P3B1"
"OG0000214"	"W0TI46 W0TKP5"	"P00401 P03877 P03878 Q9ZZX1"	""	"P07657"
"OG0000215"	"W0THX0"	"P34226 P39000"	"A3LPX5"	"O94486 O94614 Q09897"
"OG0000216"	"W0TH78 W0THT7"	"P29547 P36008 P42936"	"A3LPZ2"	"P40921"
"OG0000217"	"W0TCF0 W0TIY4"	"Q06116 Q06179"	"A3GF94 A3LV30"	"Q6LA55"
"OG0000218"	"W0T4I5 W0TCX5"	"P53844 P53860"	"A3LND9 A3LXJ3"	"Q9UU99"
"OG0000219"	"W0T3R4 W0T815"	"P11709 P33420"	"A3M0A2"	"O42667 P79065"
"OG0000220"	"W0TF76"	"P08539 P10823"	"A3LQM3 A3LUH4"	"P27584 Q04665"
"OG0000221"	"W0TEN0"	"P32805 P41696 P47043"	"A3GF53 A3LQX0 A3LVQ6"	""
"OG0000222"	"W0T4T5"	"P41911 Q00055"	"A3LU81 A3LYI9"	"P21696 Q09845"
"OG0000223"	"W0T833 W0T9J3"	"P15303 P38769"	"A3GFA2"	"O74873 O94672"
"OG0000224"	"W0T537 W0TCR9"	"P00817 P28239"	"A3LQ79 A3LTU4"	"P19117"
"OG0000225"	"W0T543"	"P40445"	"A3GET9 A3LN09 A3LWC9 A3LWD0 A3M0J5"	""
"OG0000226"	"W0T7H6"	"P21373 P32622"	"A3LQ02"	"O13863 Q6LA56 Q9P7K3"
"OG0000227"	"W0TDK2"	"P32804 Q12436"	"A3LU47 A3LUM3 A3LZN4"	"O94639"
"OG0000228"	"W0T8H1 W0TF12"	"P38770 P53062"	"A3LQ35 A3M0B2"	"Q9UT30"
"OG0000229"	"W0TFV4"	"P04386"	"A3GGC3 A3LUD9 A3LV49 A3LYE1 A3LYJ4"	""
"OG0000230"	"W0TFT1"	"P26370"	"A3GGX6 A3LUQ1 A3LWW8 A3LX43"	"O59830"
"OG0000231"	"W0T9G3 W0TF38"	"P38067"	"A3LPT8 A3LRD1"	"Q9US47 Q9UTM8"
"OG0000232"	"W0T5S6 W0TI30"	"P48570 Q12122"	"A3GGR1 A3LUA5"	"Q9Y823"
"OG0000233"	"W0TFK1"	"P39518"	"A3LPC6 A3LPV7 A3LT24 A3LVT4 A3LZE8"	""
"OG0000234"	"W0TE00"	"P38867 P40002"	"A3LPL2 A3LVC6"	"O14367 Q10294"
"OG0000235"	"W0T4J4 W0TDM8"	"P16861 P16862"	"A3LNQ5 A3LPC9"	"O42938"
"OG0000236"	"W0T8F1 W0TC09"	"P52910 Q01574"	"A3LW76 A3LXD8"	"P78773"
"OG0000237"	"W0TFK8"	"P26784 P26785"	"A3GFB5"	"O42848 O42991 O43004"
"OG0000238"	"W0T8L9"	"P30624 P39002 P47912"	"A3GI75"	"O60135 Q9P7D7"
"OG0000239"	"W0T6H7"	"Q02753 Q12672"	"A3LRQ7 A3LVV1"	"O42706 Q9UUC1"
