"Orthogroup"	"Kluyveromyces_marxianus_DMKU3_1042"	"Saccharomyces_cerevisiaeS288c"	"Scheffersomyces_stipitis_CBS6054"	"Schizosaccharomyces_pombe_972"
"OG0000984"	"W0T5E2"	"Q08208"	"A3LT57"	"O13741"
"OG0000985"	"W0TBX1"	"P19262"	"A3LYY4"	"O94681"
"OG0000986"	"W0T4H7"	"P06174"	"A3LW75"	"P87214"
"OG0000987"	"W0T8J0"	"Q03829"	"A3LSY5"	"Q76PC3"
"OG0000988"	"W0TA83"	"Q03327"	"A3LVJ9"	"Q9UTF8"
"OG0000990"	"W0T8C4"	"P39013"	"A3M008"	"Q9USZ7"
"OG0000991"	"W0T469"	"P46963"	"A3LWA0"	"Q9USJ8"
"OG0000992"	"W0TFA3"	"P35180"	"A3LRA9"	"O14225"
"OG0000993"	"W0T2L5"	"P22768"	"A3GH36"	"O94354"
"OG0000994"	"W0TG96"	"Q04491"	"A3LNW3"	"O94319"
"OG0000995"	"W0TF82"	"P40516"	"A3LW39"	"Q9P7Z3"
"OG0000996"	"W0T6E2"	"P25574"	"A3LZ74"	"O13981"
"OG0000998"	"W0T8B2"	"P38249"	"A3GI11"	"O74760"
"OG0000999"	"W0TE27"	"Q08004"	"A3LR92"	"Q9P370"
"OG0001000"	"W0TDB6"	"P52920"	"A3GF66"	"O94442"
"OG0001001"	"W0TGQ2"	"P11433"	"A3LZC0"	"P40995"
"OG0001003"	"W0TH20"	"P09436"	"A3LTD7"	"O13651"
"OG0001004"	"W0T926"	"P36521"	"A3LS78"	"Q09724"
"OG0001006"	"W0T5Z5"	"P32913"	"A3GFG9"	"Q9URW7"
"OG0001007"	"W0TCU1"	"Q12188"	"A3GG34"	"P36626"
"OG0001008"	"W0TF10"	"P23724"	"A3GGN3"	"Q9UQY2"
"OG0001009"	"W0T4E0"	"P38902"	"A3LX93"	"P87123"
"OG0001010"	"W0T7L6"	"Q04437"	"A3LQS3"	"Q9HGM8"
"OG0001011"	"W0TAT3"	"P38337"	"A3GFR0"	"Q10321"
"OG0001012"	"W0TAX3"	"P32501"	"A3LQE7"	"P56287"
"OG0001014"	"W0TCJ3"	"P40825"	"A3LRI3"	"O13914"
"OG0001015"	"W0TCU8"	"P53088"	"A3GGB3"	"O94282"
"OG0001016"	"W0TEZ5"	"Q06892"	"A3GHN0"	"Q9UT98"
"OG0001017"	"W0TE42"	"P53148"	"A3LTB2"	"O59757"
"OG0001018"	"W0TCL2"	"Q06078"	"A3LUK4"	"O14053"
"OG0001019"	"W0TI51"	"P15703"	"A3GGJ9"	"O13990"
"OG0001020"	"W0TEX1"	"P38250"	"A3LWT2"	"O13621"
"OG0001021"	"W0THY2"	"P50113"	"A3M015"	"Q10474"
"OG0001022"	"W0T7N0"	"P32839"	"A3LY03"	"Q9P6Q3"
"OG0001023"	"W0THZ5"	"P40502"	"A3LXV5"	"Q9UUF4"
"OG0001025"	"W0TAA7"	"P53110"	"A3LRY6"	"Q9HDZ0"
"OG0001026"	"W0TD01"	"P25270"	"A3LT09"	"O94631"
"OG0001027"	"W0TCN8"	"P41835"	"A3LUC4"	"P40386"
"OG0001028"	"W0TDQ5"	"Q04675"	"A3LXI8"	"Q7LKV3"
"OG0001029"	"W0T508"	"P37263"	"A3GIE4"	"O94311"
"OG0001030"	"W0T9G2"	"P53128"	"A3LUC7"	"Q10258"
"OG0001031"	"W0TIA5"	"Q05040"	"A3LS41"	"O94560"
"OG0001032"	"W0T440"	"P39968"	"A3GF68"	"O43028"
"OG0001033"	"W0TG73"	"P38637"	"A3LPS7"	"P38937"
"OG0001034"	"W0TD63"	"O14467"	"A3GGS4"	"O94700"
"OG0001035"	"W0TGX4"	"Q12059"	"A3LX01"	"Q9UT93"
"OG0001036"	"W0TDE7"	"Q04636"	"A3LUL0"	"O94529"
"OG0001037"	"W0TF21"	"P40335"	"A3LZZ8"	"Q10243"
"OG0001038"	"W0T9H3"	"P00427"	"A3LN77"	"Q9UTF6"
"OG0001039"	"W0TD51"	"P32335"	"A3GGW9"	"Q9UTB4"
"OG0001040"	"W0T8W7"	"P09950"	"A3LV77"	"O14092"
"OG0001041"	"W0TDV8"	"P53868"	"A3LPM8"	"Q9P7Q9"
"OG0001042"	"W0T774"	"Q07834"	"A3GHF4"	"O74359"
"OG0001043"	"W0TBY8"	"P25356"	"A3LQJ7"	"Q7LKZ7"
"OG0001045"	"W0T6S2"	"P53008"	"A3GH62"	"O14255"
"OG0001046"	"W0TCE3"	"P40509"	"A3LZI0"	"O74767"
"OG0001047"	"W0TE37"	"P38932"	"A3LRH9"	"Q09805"
"OG0001048"	"W0TCI7"	"P46669"	"A3LV72"	"O43036"
"OG0001049"	"W0T492"	"Q96VH5"	"A3LS66"	"Q9HFF0"
"OG0001050"	"W0T581"	"Q04013"	"A3LUU8"	"P78763"
"OG0001051"	"W0T4D5"	"Q08058"	"A3LVC0"	"Q9USM9"
"OG0001053"	"W0TA35"	"P46951"	"A3LSY1"	"O94441"
"OG0001054"	"W0TFV6"	"P43621"	"A3LVB0"	"O74496"
"OG0001055"	"W0TDT8"	"P53930"	"A3LSB8"	"Q10319"
"OG0001056"	"W0TH88"	"P50110"	"A3LTE5"	"Q9UUA5"
"OG0001057"	"W0T452"	"Q02767"	"A3LU01"	"O13872"
"OG0001058"	"W0T9B6"	"P69850"	"A3LXY6"	"P62505"
"OG0001059"	"W0T2U3"	"P39104"	"A3LZ98"	"Q10366"
"OG0001060"	"W0T7D7"	"P36048"	"A3LU88"	"O94316"
"OG0001061"	"W0T6F9"	"P25344"	"A3GHA9"	"P36622"
"OG0001062"	"W0TDS6"	"Q03940"	"A3GEZ1"	"Q9C0X6"
"OG0001063"	"W0T382"	"P38708"	"A3LY68"	"O60155"
"OG0001064"	"W0T837"	"P24482"	"A3GH04"	"O94263"
"OG0001065"	"W0TDM6"	"Q12429"	"A3LRQ5"	"Q9USQ7"
"OG0001066"	"W0T982"	"P40354"	"A3LRP9"	"O60178"
"OG0001067"	"W0TDV4"	"Q12434"	"A3LZR4"	"O14224"
"OG0001069"	"W0T5P3"	"P19882"	"A3LXU1"	"Q09864"
"OG0001070"	"W0TIM9"	"P33893"	"A3GFV6"	"Q9UT77"
"OG0001071"	"W0T6E1"	"Q12116"	"A3GHX2"	"Q9HDY3"
"OG0001072"	"W0T721"	"Q3E7B7"	"A3LX16"	"Q9UTF0"
"OG0001073"	"W0T9V2"	"P53011"	"A3LVW9"	"Q10099"
"OG0001074"	"W0T5P0"	"P36059"	"A3LYI7"	"O94347"
"OG0001075"	"W0TDU4"	"Q99394"	"A3LWB7"	"Q09784"
"OG0001076"	"W0T601"	"P40089"	"A3LWP7"	"O42978"
"OG0001077"	"W0T3W1"	"P33339"	"A3LUC2"	"O74458"
"OG0001078"	"W0T6X9"	"P14737"	"A3LVP6"	"P87074"
"OG0001079"	"W0TE93"	"P47095"	"A3LVM9"	"Q9HE08"
"OG0001080"	"W0T7P6"	"P40085"	"A3LUY6"	"O60067"
"OG0001081"	"W0TB56"	"P25655"	"A3LRK4"	"P87112"
"OG0001082"	"W0TDK9"	"Q00684"	"A3LUZ0"	"Q9P7H1"
"OG0001083"	"W0TF07"	"P38793"	"A3LTN2"	"Q8TFG7"
"OG0001084"	"W0T8B8"	"P41735"	"A3LZ66"	"O74826"
"OG0001085"	"W0TF59"	"P47051"	"A3LTC6"	"O13629"
"OG0001086"	"W0TBH5"	"P49095"	"A3LQC8"	"Q09785"
"OG0001087"	"W0TE83"	"P40545"	"A3GF99"	"Q10184"
"OG0001088"	"W0TCB3"	"P13134"	"A3LYR4"	"Q09175"
"OG0001089"	"W0TFV1"	"P38629"	"A3LVH9"	"O14003"
"OG0001090"	"W0T865"	"Q12374"	"A3LPU4"	"O74963"
"OG0001091"	"W0TGR8"	"P32453"	"A3LWI5"	"P87127"
"OG0001092"	"W0T9U3"	"P25646"	"A3LSJ0"	"O14156"
"OG0001093"	"W0T474"	"P29478"	"A3LV98"	"O94407"
"OG0001094"	"W0T838"	"P53893"	"A3LWX5"	"O74945"
"OG0001095"	"W0T4A5"	"Q04969"	"A3LSW1"	"Q9UTQ9"
"OG0001096"	"W0TDZ7"	"P47075"	"A3LTK8"	"P78810"
"OG0001098"	"W0T5H9"	"P38326"	"A3LRF9"	"O74897"
"OG0001099"	"W0T649"	"P38912"	"A3LW99"	"P55877"
"OG0001100"	"W0T3M4"	"P48510"	"A3LZ40"	"Q10169"
"OG0001101"	"W0TDJ6"	"Q12440"	"A3LQ64"	"Q874R3"
"OG0001102"	"W0TGK0"	"Q06706"	"A3GF58"	"O59704"
"OG0001103"	"W0TK92"	"Q03429"	"A3LNG8"	"G2TRP8"
"OG0001105"	"W0T8B7"	"P04803"	"A3LVM5"	"O42875"
"OG0001106"	"W0TI32"	"Q03048"	"A3LZF5"	"P78929"
"OG0001108"	"W0TFI5"	"Q07915"	"A3LSX2"	"Q10353"
"OG0001109"	"W0TA64"	"P57744"	"A3GET6"	"Q09783"
"OG0001110"	"W0TFQ5"	"P53952"	"A3LRW4"	"Q9UUH6"
"OG0001111"	"W0TDC0"	"P38741"	"A3LTL5"	"Q10277"
"OG0001112"	"W0TEQ1"	"P52917"	"A3LVF1"	"Q09803"
"OG0001113"	"W0TKF9"	"P05694"	"A3LVA0"	"Q9UT19"
"OG0001114"	"W0TBX9"	"P13663"	"A3LUL1"	"P78780"
"OG0001115"	"W0TFA2"	"P50107"	"A3GFD6"	"Q09751"
"OG0001116"	"W0TDX5"	"P32179"	"A3LUV9"	"O94505"
"OG0001117"	"W0T8U5"	"P37293"	"A3LMZ5"	"Q9URV4"
"OG0001118"	"W0T7Y3"	"P38737"	"A3LZJ2"	"Q9P7H8"
"OG0001119"	"W0T7I5"	"P33201"	"A3LXP5"	"Q9USZ6"
"OG0001120"	"W0TGL2"	"P40156"	"A3LTV8"	"O14211"
"OG0001122"	"W0THU7"	"P16451"	"A3GI36"	"O94709"
"OG0001123"	"W0THE5"	"P53944"	"A3M091"	"O14028"
"OG0001124"	"W0TB58"	"Q06137"	"A3LR80"	"Q9UTK9"
"OG0001125"	"W0TF81"	"P47158"	"A3LNW4"	"Q09929"
"OG0001127"	"W0T5N5"	"Q02772"	"A3LP22"	"O42921"
"OG0001128"	"W0T5P9"	"P38139"	"A3GGR6"	"P87056"
"OG0001129"	"W0TBS9"	"P53262"	"A3LU52"	"Q9Y7R6"
"OG0001130"	"W0TC01"	"Q06696"	"A3LUC0"	"O43038"
"OG0001131"	"W0TBN2"	"P48362"	"A3GGM1"	"Q10498"
"OG0001132"	"W0TBZ1"	"P31755"	"A3LQ00"	"Q9UTR6"
"OG0001133"	"W0TG95"	"Q12334"	"A3LNZ2"	"Q9HDY7"
"OG0001134"	"W0T3J3"	"P36022"	"A3LZU2"	"O13290"
"OG0001135"	"W0TAJ0"	"Q12016"	"A3LV61"	"O43073"
"OG0001136"	"W0T8H3"	"P53235"	"A3LR90"	"O74965"
"OG0001137"	"W0TEW5"	"P08425"	"A3LMT5"	"O74952"
"OG0001138"	"W0TCV9"	"Q07688"	"A3LPM7"	"O94321"
"OG0001139"	"W0TB91"	"P40413"	"A3LYE9"	"Q9UTM4"
"OG0001140"	"W0T6X1"	"P29704"	"A3LTQ5"	"P36596"
"OG0001141"	"W0T9H7"	"P15442"	"A3LWI3"	"Q9HGN1"
"OG0001142"	"W0TCA1"	"P48558"	"A3LXU5"	"O74888"
"OG0001143"	"W0T8V7"	"P36519"	"A3LYH4"	"O14337"
"OG0001144"	"W0T3X1"	"P38636"	"A3LPB2"	"O74735"
"OG0001145"	"W0TGN7"	"P40459"	"A3LQZ2"	"Q09673"
"OG0001146"	"W0T9A6"	"P53237"	"A3LWC6"	"O74769"
"OG0001147"	"W0TAW0"	"P07149"	"A3LZH0"	"Q9UUG0"
"OG0001148"	"W0TFX0"	"P47149"	"A3M0H0"	"Q09858"
"OG0001149"	"W0T9C0"	"P00546"	"A3LXZ6"	"P04551"
"OG0001150"	"W0TDY2"	"P20967"	"A3LZW8"	"O74378"
"OG0001151"	"W0T7R9"	"P32656"	"A3LSU6"	"P87305"
"OG0001152"	"W0T7Z9"	"P53212"	"A3LT61"	"O43075"
"OG0001153"	"W0TF17"	"P06777"	"A3LW79"	"P36617"
"OG0001154"	"W0TD17"	"P28000"	"A3LQW8"	"Q09177"
"OG0001155"	"W0TIB1"	"P35735"	"A3GGF7"	"Q9Y7U1"
"OG0001156"	"W0TG17"	"P40554"	"A3GFM6"	"Q9P3U9"
"OG0001157"	"W0TFR7"	"P43558"	"A3LR91"	"O13974"
"OG0001158"	"W0T8F9"	"Q05543"	"A3GIE2"	"O74814"
"OG0001160"	"W0T6M7"	"Q06390"	"A3LZ67"	"O74958"
"OG0001161"	"W0THZ6"	"P40070"	"A3LPF4"	"O14352"
"OG0001162"	"W0T9W3"	"P14540"	"A3GG96"	"P36580"
"OG0001163"	"W0T4D6"	"Q04401"	"A3LUS2"	"Q9P7Y2"
"OG0001164"	"W0T3M8"	"P25582"	"A3LXQ0"	"O42832"
"OG0001165"	"W0T3I3"	"P29056"	"A3LP89"	"Q9P6R0"
"OG0001166"	"W0TCM2"	"P30619"	"A3LPF8"	"O94590"
"OG0001167"	"W0T7D0"	"P06783"	"A3GFV5"	"P31397"
"OG0001168"	"W0TDF9"	"Q04958"	"A3LYZ4"	"Q9USJ4"
"OG0001169"	"W0TA88"	"Q03433"	"A3GG81"	"O59669"
"OG0001171"	"W0T9I0"	"P33411"	"A3LMZ1"	"O94406"
"OG0001172"	"W0TGJ8"	"O13525"	"A3LXH5"	"O94453"
"OG0001173"	"W0TK60"	"P06182"	"A3LZC6"	"O74794"
"OG0001174"	"W0TGM4"	"P80210"	"A3LYS9"	"Q02787"
"OG0001175"	"W0TD14"	"P06774"	"A3LWW9"	"P24488"
"OG0001176"	"W0TD21"	"P53925"	"A3LUQ4"	"O13912"
"OG0001177"	"W0T986"	"Q12019"	"A3LSZ4"	"O94248"
"OG0001178"	"W0T542"	"Q04199"	"A3LVB4"	"O13985"
"OG0001179"	"W0TBS8"	"P36053"	"A3LY08"	"O13868"
"OG0001180"	"W0TAA3"	"P38991"	"A3LT96"	"O59790"
"OG0001181"	"W0TCI2"	"P38336"	"A3LTC7"	"Q9P7W9"
"OG0001182"	"W0T9V0"	"Q06152"	"A3LYF8"	"C6Y4A5"
"OG0001183"	"W0TFH7"	"Q05027"	"A3LVK8"	"Q09869"
"OG0001184"	"W0TCI0"	"P25337"	"A3GHM1"	"O74772"
"OG0001185"	"W0T9V7"	"Q99287"	"A3LWM9"	"Q9UTE0"
"OG0001186"	"W0T764"	"P47141"	"A3LVR9"	"O42919"
"OG0001187"	"W0TF61"	"P38682"	"A3LNF6"	"Q10367"
"OG0001188"	"W0T7P8"	"P40302"	"A3LPI7"	"O14250"
"OG0001189"	"W0TB59"	"P39702"	"A3LP33"	"O13756"
"OG0001190"	"W0TCD2"	"P23179"	"A3LTU3"	"P40384"
"OG0001191"	"W0T883"	"P53598"	"A3GFF3"	"O13750"
"OG0001192"	"W0TJS4"	"Q03338"	"A3LNA4"	"Q09856"
"OG0001193"	"W0TG23"	"P32897"	"A3LU66"	"Q9USM7"
"OG0001195"	"W0T8Q3"	"Q03957"	"A3LUH2"	"O14098"
"OG0001196"	"W0T3L9"	"P22135"	"A3LR77"	"Q9UT16"
"OG0001197"	"W0T626"	"P07274"	"A3LQH2"	"P39825"
"OG0001198"	"W0TI12"	"P40491"	"A3LYS7"	"G2TRM0"
"OG0001199"	"W0TH63"	"P15367"	"A3LXS1"	"O74323"
"OG0001200"	"W0T644"	"P50861"	"A3GFV7"	"Q9UUB1"
"OG0001201"	"W0TED3"	"P38110"	"A3LT76"	"O74630"
"OG0001202"	"W0TB54"	"P32387"	"A3GFG4"	"Q09727"
"OG0001203"	"W0T8E2"	"Q05636"	"A3LTY6"	"O74918"
"OG0001204"	"W0TCJ8"	"P22203"	"A3LV74"	"O13687"
"OG0001205"	"W0TIA0"	"P35728"	"A3GGA6"	"O94264"
"OG0001206"	"W0TA79"	"P10614"	"A3LZ81"	"Q09736"
"OG0001207"	"W0TDX7"	"P40464"	"A3LSC5"	"O13660"
"OG0001208"	"W0TBI5"	"Q12347"	"A3GGB5"	"O74531"
"OG0001209"	"W0T8I0"	"P11747"	"A3LY50"	"O60076"
"OG0001210"	"W0T5L5"	"P32628"	"A3LRM3"	"O74803"
"OG0001211"	"W0T9A3"	"Q06675"	"A3LV66"	"Q10290"
"OG0001212"	"W0TF23"	"Q03786"	"A3LUB2"	"Q10242"
"OG0001213"	"W0TAS0"	"P39724"	"A3LY28"	"Q9USK1"
"OG0001214"	"W0T7B4"	"P41895"	"A3GGM2"	"O94416"
"OG0001216"	"W0TAF8"	"P32898"	"A3LQ15"	"O42908"
"OG0001217"	"W0TGC9"	"P42840"	"A3GIA5"	"P54069"
"OG0001218"	"W0TA80"	"Q99312"	"A3GFF9"	"O14349"
"OG0001219"	"W0TGP6"	"P48567"	"A3LZC9"	"O59721"
"OG0001220"	"W0TFR8"	"Q99220"	"A3GGW8"	"Q9UTC8"
"OG0001221"	"W0TFC8"	"P24783"	"A3LQW7"	"P24782"
"OG0001222"	"W0T2F8"	"P36528"	"A3LZB7"	"O94398"
"OG0001223"	"W0TG08"	"P33767"	"A3GFM5"	"O59866"
"OG0001224"	"W0TF78"	"P40045"	"A3LNE0"	"Q9UTS6"
"OG0001225"	"W0T8A8"	"P21264"	"A3GHI9"	"P15567"
"OG0001226"	"W0TF66"	"P53900"	"A3GF37"	"Q9UTD4"
"OG0001227"	"W0TDJ9"	"P28321"	"A3LRT0"	"O94305"
"OG0001228"	"W0T6U1"	"P47088"	"A3GGM5"	"Q9P6R5"
"OG0001229"	"W0TDQ2"	"P33312"	"A3GI07"	"Q9P7L3"
"OG0001230"	"W0TF51"	"P40078"	"A3LQ06"	"Q9UU79"
"OG0001231"	"W0TE96"	"Q12220"	"A3LQB6"	"P87177"
"OG0001232"	"W0TAM4"	"Q04225"	"A3GI66"	"Q9P783"
"OG0001233"	"W0TAF9"	"P89105"	"A3LWD9"	"O42668"
"OG0001234"	"W0TAV2"	"P53759"	"A3LTU9"	"Q9HGN6"
"OG0001235"	"W0T650"	"P21827"	"A3LSA8"	"P28745"
"OG0001236"	"W0TDG2"	"P37838"	"A3LXC4"	"O74400"
"OG0001238"	"W0TIY0"	"P54783"	"A3LS45"	"Q9HDX8"
"OG0001239"	"W0T305"	"P33753"	"A3GFI1"	"Q09833"
"OG0001240"	"W0T531"	"Q02521"	"A3GIA1"	"O43031"
"OG0001242"	"W0TGP4"	"P46964"	"A3LU86"	"O14238"
"OG0001243"	"W0TED1"	"P35194"	"A3LZY4"	"O60055"
"OG0001244"	"W0TFL5"	"P40505"	"A3LXV9"	"Q9UTB6"
"OG0001246"	"W0THP2"	"P53152"	"A3GI69"	"O74983"
"OG0001247"	"W0T6Z1"	"Q04740"	"A3LY19"	"Q9UST8"
"OG0001248"	"W0TGJ1"	"Q07418"	"A3LZ32"	"Q10485"
"OG0001249"	"W0T6P3"	"P33760"	"A3LUJ5"	"O13764"
"OG0001250"	"W0TCI1"	"P47170"	"A3LRB2"	"O74788"
"OG0001251"	"W0T771"	"P38625"	"A3LQ84"	"Q9P772"
"OG0001252"	"W0T9D7"	"P38959"	"A3LRT6"	"Q9P7N3"
"OG0001253"	"W0TG12"	"P23643"	"A3GIC8"	"O59796"
"OG0001254"	"W0TF35"	"P53829"	"A3LSA9"	"Q92368"
"OG0001255"	"W0TE24"	"Q12496"	"A3LY63"	"Q10068"
"OG0001256"	"W0T6X3"	"P36107"	"A3LZ60"	"Q10142"
"OG0001257"	"W0TF93"	"P43589"	"A3LWP4"	"Q9USR2"
"OG0001258"	"W0T4Z0"	"P46677"	"A3LWY0"	"Q09813"
"OG0001260"	"W0TCP5"	"P38801"	"A3LWV2"	"O74469"
"OG0001261"	"W0T6N4"	"Q08873"	"A3LW03"	"O14185"
"OG0001262"	"W0TAR5"	"Q01329"	"A3LWJ9"	"Q10222"
"OG0001263"	"W0T8G5"	"P48836"	"A3LYG3"	"O74174"
"OG0001264"	"W0TCK2"	"P25335"	"A3LMU8"	"Q09913"
"OG0001266"	"W0T538"	"P23059"	"A3LX11"	"O43080"
"OG0001267"	"W0TEL9"	"P40154"	"A3LTW0"	"O14210"
"OG0001268"	"W0TBL9"	"P09938"	"A3LNC1"	"P36603"
"OG0001269"	"W0TFC3"	"Q08971"	"A3LS40"	"O59727"
"OG0001270"	"W0TGB3"	"P53507"	"A3LSC4"	"O42999"
"OG0001272"	"W0T8H8"	"P33418"	"A3LWK3"	"O94258"
"OG0001273"	"W0T2T7"	"P32562"	"A3LX94"	"P50528"
"OG0001274"	"W0T7D4"	"P25443"	"A3GFH5"	"O74892"
"OG0001275"	"W0T7G2"	"P38203"	"A3M080"	"O94408"
"OG0001276"	"W0T657"	"Q12674"	"A3LTJ2"	"Q9UT43"
"OG0001277"	"W0T8M1"	"Q08726"	"A3LVC9"	"Q9UTL7"
"OG0001278"	"W0TC94"	"P89886"	"A3GH77"	"P87313"
"OG0001279"	"W0T6R2"	"P38207"	"A3GFP4"	"P87175"
"OG0001281"	"W0TD23"	"P46655"	"A3LWB3"	"O13775"
"OG0001282"	"W0T6W7"	"P09064"	"A3LPD5"	"P56329"
"OG0001283"	"W0T927"	"P38241"	"A3LW91"	"O59800"
"OG0001284"	"W0T6B0"	"P32854"	"A3LVM0"	"O94651"
"OG0001286"	"W0TJ35"	"P22219"	"A3LUZ6"	"O42900"
"OG0001287"	"W0T343"	"Q12296"	"A3LYR0"	"Q9USJ3"
"OG0001288"	"W0TAL9"	"P40208"	"A3GH72"	"Q10446"
"OG0001289"	"W0T6C8"	"P20133"	"A3GH05"	"P46960"
"OG0001290"	"W0TDY1"	"P39937"	"A3GH76"	"Q10303"
"OG0001291"	"W0TI19"	"Q04344"	"A3LQG8"	"O94586"
"OG0001292"	"W0T566"	"Q03750"	"A3LZ41"	"O94706"
"OG0001293"	"W0TFD1"	"P38822"	"A3LP15"	"Q09746"
"OG0001294"	"W0TDW7"	"Q06680"	"A3GHB5"	"Q10429"
"OG0001295"	"W0T6K3"	"Q12015"	"A3LP74"	"Q9HE10"
"OG0001296"	"W0TBD6"	"P14908"	"A3LTE8"	"Q9US51"
"OG0001297"	"W0T803"	"P14284"	"A3LPZ9"	"Q9P6L6"
"OG0001298"	"W0TBD0"	"P36526"	"A3LRE2"	"Q5WRL1"
"OG0001299"	"W0TEX6"	"P38066"	"A3LQW3"	"Q9P7M9"
"OG0001300"	"W0TAE2"	"P53722"	"A3LYB6"	"Q1MTR0"
"OG0001301"	"W0TIX0"	"P06784"	"A3M0B5"	"P10506"
"OG0001302"	"W0T6L4"	"P38293"	"A3GF00"	"O74416"
"OG0001303"	"W0T9Z4"	"P38120"	"A3GI01"	"O14006"
"OG0001304"	"W0T4N1"	"P46673"	"A3GHK2"	"Q9UUE5"
"OG0001305"	"W0T518"	"P32316"	"A3LVC7"	"Q9UUJ9"
"OG0001306"	"W0T7B2"	"P36146"	"A3LT29"	"O42936"
"OG0001307"	"W0TDE5"	"P42940"	"A3GGY9"	"Q9UTH2"
"OG0001308"	"W0TGE6"	"P38716"	"A3LTQ0"	"O42851"
"OG0001309"	"W0TFH4"	"P31787"	"A3LSE8"	"Q9Y7Z3"
"OG0001310"	"W0THM4"	"P31115"	"A3LX03"	"Q9UTB3"
"OG0001311"	"W0TAY8"	"P18851"	"A3LVU6"	"Q10282"
"OG0001312"	"W0TIK0"	"P24814"	"A3LVS5"	"O74783"
"OG0001313"	"W0TBJ0"	"Q03897"	"A3LXN5"	"O13686"
"OG0001314"	"W0TDW1"	"P38795"	"A3LN60"	"O74940"
"OG0001315"	"W0T6Y4"	"Q04924"	"A3LXS4"	"Q9USH8"
"OG0001316"	"W0T7H9"	"P38904"	"A3M0D2"	"Q10207"
"OG0001318"	"W0TIN4"	"P40069"	"A3GFV4"	"O60100"
"OG0001319"	"W0TAF3"	"Q04226"	"A3GH52"	"Q9US54"
"OG0001320"	"W0TI58"	"P53332"	"A3LW57"	"Q10350"
"OG0001321"	"W0TFU9"	"P36525"	"A3LRR9"	"O60091"
"OG0001322"	"W0T3P5"	"P36113"	"A3GGT4"	"Q9P3U4"
"OG0001323"	"W0TAD4"	"P51998"	"A3LWF5"	"O74801"
"OG0001324"	"W0T4A0"	"Q12012"	"A3LMS7"	"Q9P6M2"
"OG0001325"	"W0TDJ4"	"P53215"	"A3LWA7"	"Q9Y7T3"
"OG0001326"	"W0TA52"	"P53108"	"A3GHT4"	"Q9UTD3"
"OG0001327"	"W0TAT2"	"P39006"	"A3LX48"	"O14333"
"OG0001328"	"W0TGD6"	"P53112"	"A3M020"	"O60065"
"OG0001329"	"W0TGS1"	"Q12272"	"A3LNG9"	"O14045"
"OG0001330"	"W0T966"	"P04161"	"A3LNB2"	"Q9UUK7"
"OG0001331"	"W0TFJ2"	"P36095"	"A3LMS0"	"O14296"
"OG0001332"	"W0TDC6"	"P38081"	"A3LWQ4"	"O74799"
"OG0001333"	"W0T9Y9"	"P53870"	"A3LV56"	"Q9UUG6"
"OG0001334"	"W0TB23"	"Q01939"	"A3LTW6"	"P41836"
