Accession	Description	PrimaryGeneName	GeneName	mass_ratio_repl1	mass_ratio_repl2	mass_ratio_repl3
O43137	Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1		YBR085C-A	2.1647655032293e-06	1.9453647349423e-06	1.87375278012387e-06
O60200	Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM35 PE=1 SV=3	MDM35	YKL053C-A	1.89538184312265e-05	1.82340258157578e-05	1.81111011834434e-05
O74700	Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1	TIM9	YEL020W-A	0.00014398569808725	0.000141063034309595	0.000129731896600982
O75012	37S ribosomal protein MRP10, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRP10 PE=1 SV=1	MRP10	YDL045W-A	7.31902497523213e-06	7.31950899645898e-06	6.79848755865931e-06
P00044	Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2	CYC1	YJR048W	0.000118297058158189	0.000130631195143261	0.000121679865878305
P00127	Cytochrome b-c1 complex subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR6 PE=1 SV=2	QCR6	YFR033C	0.000118390553141316	0.000119436320402277	0.00012213081885628
P00128	Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2	QCR7	YDR529C	0.000167055574818532	0.000171241715453539	0.000176506998730784
P00175	Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYB2 PE=1 SV=1	CYB2	YML054C	4.61051690736884e-05	5.0448467600336e-05	4.64230825800713e-05
P00330	Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	ADH1	YOL086C	0.0245979951245689	0.0237771174734808	0.0244304122549111
P00358	Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3	TDH2	YJR009C	0.00548241816599905	0.00518206128261312	0.00564536031050292
P00359	Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3	TDH3	YGR192C	0.0200780852919487	0.0201374882629243	0.0200712135134394
P00360	Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3	TDH1	YJL052W	8.74516561114665e-05	8.08509354376516e-05	8.68545380963205e-05
P00410	Cytochrome c oxidase subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX2 PE=1 SV=1	COX2	Q0250	0.000196844611979517	0.000197261698729632	0.000195514094399043
P00420	Cytochrome c oxidase subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX3 PE=1 SV=3	COX3	Q0275	9.16340479111742e-06	9.02459885596211e-06	8.68671696500197e-06
P00424	Cytochrome c oxidase polypeptide 5A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX5A PE=1 SV=1	COX5A	YNL052W	6.72958455499209e-05	7.04339991641732e-05	6.71956597156463e-05
P00427	Cytochrome c oxidase subunit 6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX6 PE=1 SV=1	COX6	YHR051W	8.68086902619603e-05	8.06633258988305e-05	7.88886104474491e-05
P00431	Cytochrome c peroxidase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCP1 PE=1 SV=2	CCP1	YKR066C	2.34257213329818e-05	2.35712921248447e-05	2.32194310175207e-05
P00445	Superoxide dismutase [Cu-Zn] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOD1 PE=1 SV=2	SOD1	YJR104C	0.00108831027911594	0.0010425543787581	0.00106432867378843
P00447	Superoxide dismutase [Mn], mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOD2 PE=1 SV=1	SOD2	YHR008C	5.80377601097371e-05	6.10324132404925e-05	5.79415670023439e-05
P00498	ATP phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS1 PE=1 SV=1	HIS1	YER055C	0.000501337126275149	0.000488550017991456	0.000480665079152633
P00546	Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC28 PE=1 SV=1	CDC28	YBR160W	0.000118233031753658	0.00011812777681618	0.000116619386194361
P00549	Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	CDC19	YAL038W	0.0188234832908847	0.0189582562951636	0.0192628920880587
P00560	Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	PGK1	YCR012W	0.0214784601810214	0.0205969965626668	0.0217073713659101
P00724	Invertase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUC2 PE=1 SV=1	SUC2	YIL162W	2.86422473106949e-05	2.87034383146063e-05	2.87789036671753e-05
P00729	Carboxypeptidase Y OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRC1 PE=1 SV=1	PRC1	YMR297W	3.29711919200156e-05	3.28733182141219e-05	3.36075089613686e-05
P00812	Arginase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAR1 PE=1 SV=1	CAR1	YPL111W	1.51229262871391e-05	1.45621083305307e-05	1.42570845765719e-05
P00815	Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS4 PE=1 SV=3	HIS4	YCL030C	0.00175846806858267	0.0016915069821581	0.00173427211862687
P00817	Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IPP1 PE=1 SV=4	IPP1	YBR011C	0.00213287114673545	0.0021034335411435	0.00214772003772689
P00830	ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP2 PE=1 SV=2	ATP2	YJR121W	0.00218693620305845	0.00220462405682816	0.00218726249213133
P00890	Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIT1 PE=1 SV=2	CIT1	YNR001C	0.000411976702283755	0.000423352450158768	0.000420018520761495
P00899	Anthranilate synthase component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP2 PE=1 SV=4	TRP2	YER090W	0.000224947283606562	0.000218202428464212	0.000221854771076986
P00912	N-(5'-phosphoribosyl)anthranilate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP1 PE=1 SV=2	TRP1	YDR007W	1.12439563456891e-06	1.11757035462386e-06	1.07693246904402e-06
P00924	Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3	ENO1	YGR254W	0.00789200048255106	0.00754247354276604	0.00793082624271464
P00925	Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2	ENO2	YHR174W	0.0318253477799368	0.0315154714516364	0.0324149928468163
P00927	Threonine dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV1 PE=1 SV=2	ILV1	YER086W	0.000408868415276002	0.000393552675628105	0.000389685143007907
P00931	Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP5 PE=1 SV=1	TRP5	YGL026C	0.00061538516348194	0.000574113733047132	0.000590102568014767
P00937	Multifunctional tryptophan biosynthesis protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP3 PE=1 SV=2	TRP3	YKL211C	0.000234512091371484	0.00022494550179856	0.000228611334214792
P00942	Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPI1 PE=1 SV=2	TPI1	YDR050C	0.00739795715272379	0.00701438644931228	0.00740055976936103
P00950	Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3	GPM1	YKL152C	0.00714600007881872	0.00712749247825246	0.00690187424890533
P00958	Methionine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MES1 PE=1 SV=4	MES1	YGR264C	0.000363971920908295	0.000359912628007231	0.000349368912202373
P01097	ATPase inhibitor, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=INH1 PE=1 SV=2	INH1	YDL181W	3.11507053660541e-06	3.2294688716534e-06	2.9744711647768e-06
P01119	Ras-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAS1 PE=1 SV=2	RAS1	YOR101W	4.56790338326942e-05	4.54926720328937e-05	4.49027378820991e-05
P01120	Ras-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAS2 PE=1 SV=4	RAS2	YNL098C	5.24748493993351e-05	5.1932116788392e-05	5.17960967660439e-05
P01123	GTP-binding protein YPT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPT1 PE=1 SV=2	YPT1	YFL038C	0.000170642947257417	0.000174125804316614	0.000169313895877009
P02293	Histone H2B.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTB1 PE=1 SV=2	HTB1	YDR224C	0.00303159974962331	0.00315525634961677	0.00302996719318089
P02309	Histone H4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HHF1 PE=1 SV=2	"HHF1; HHF2"	"YBR009C; YNL030W"	0.000713964180815009	0.000721085615149687	0.000730781473136867
P02381	Ribosomal protein VAR1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VAR1 PE=1 SV=3	VAR1	Q0140	1.71057860996132e-05	1.76165458801487e-05	1.83143308566978e-05
P02400	60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP2B PE=1 SV=2	RPP2B	YDR382W	0.00208305459257975	0.00206603638699647	0.00209017276761597
P02406	60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL28 PE=1 SV=3	RPL28	YGL103W	0.00143074271806868	0.00148111650600817	0.00152225636917013
P02557	Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TUB2 PE=1 SV=2	TUB2	YFL037W	0.000272141784768396	0.000271610243099864	0.000287205441986125
P02829	ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP82 PE=1 SV=1	HSP82	YPL240C	0.00233812522024457	0.00255643805295361	0.00241049710321425
P02992	Elongation factor Tu, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TUF1 PE=1 SV=1	TUF1	YOR187W	0.000319389196535735	0.000312460688242975	0.00033732752349348
P02994	Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1	"TEF1; TEF2"	"YPR080W; YBR118W"	0.0429379518579513	0.0423840019548313	0.0431192151107723
P03871	Partitioning protein REP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=REP1 PE=1 SV=1	REP1	R0020C	1.38759819678251e-05	1.46694786588828e-05	1.58557896836259e-05
P03872	Partitioning protein REP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=REP2 PE=1 SV=1	REP2	R0040C	1.89440461394428e-05	1.84601378925998e-05	2.15759831021205e-05
P03874	Cytochrome B pre-mRNA-processing protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CBP2 PE=1 SV=2	CBP2	YHL038C	1.13325096027159e-05	1.13567709680009e-05	1.13633592123214e-05
P03962	Orotidine 5'-phosphate decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA3 PE=1 SV=2	URA3	YEL021W	4.50818568142653e-05	4.49532328452527e-05	4.44670981713084e-05
P03965	Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPA2 PE=1 SV=1	CPA2	YJR109C	0.0019423660777615	0.00185270774183544	0.00196206757531553
P04037	Cytochrome c oxidase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX4 PE=1 SV=1	COX4	YGL187C	8.08478720659303e-05	7.82816061594004e-05	7.79387650402303e-05
P04039	Cytochrome c oxidase polypeptide VIII, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX8 PE=1 SV=2	COX8	YLR395C	0.000219403628114496	0.00023171867156267	0.000224345358627735
P04046	Amidophosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE4 PE=1 SV=2	ADE4	YMR300C	0.000380493321883002	0.000382810834482259	0.000376774036832905
P04050	DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO21 PE=1 SV=2	RPO21	YDL140C	0.000279839470414494	0.000279012204291432	0.000276820245283195
P04051	DNA-directed RNA polymerase III subunit RPC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO31 PE=1 SV=1	RPO31	YOR116C	7.28211950167156e-05	7.31891560761094e-05	7.21823470745346e-05
P04076	Argininosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARG4 PE=1 SV=2	ARG4	YHR018C	0.00054864058093926	0.000528278645686031	0.000530703654865553
P04147	Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAB1 PE=1 SV=4	PAB1	YER165W	0.00106857269091081	0.00106528386326222	0.00105694716023594
P04161	Phosphoribosylglycinamide formyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE8 PE=1 SV=1	ADE8	YDR408C	9.54243930360415e-05	9.4188765764225e-05	9.42073010459928e-05
P04173	3-isopropylmalate dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LEU2 PE=1 SV=4	LEU2	YCL018W	0.000721930522860766	0.000715512183292617	0.00070631941673263
P04449	60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL24A PE=1 SV=1	RPL24A	YGL031C	0.000760312745960288	0.000789411617228868	0.000748162852819821
P04456	60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL25 PE=1 SV=4	RPL25	YOL127W	0.0025262566216716	0.00255945569436733	0.00254433060214876
P04650	60S ribosomal protein L39 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL39 PE=1 SV=3	RPL39	YJL189W	8.47043091505001e-05	9.38146775324977e-05	9.78677136364168e-05
P04786	DNA topoisomerase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOP1 PE=1 SV=2	TOP1	YOL006C	1.80192764463651e-05	1.90636730936008e-05	1.87100822052777e-05
P04801	Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THS1 PE=1 SV=2	THS1	YIL078W	0.000630685688979233	0.000639082360403033	0.000631508793886771
P04802	Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPS1 PE=1 SV=3	DPS1	YLL018C	0.000550994320487075	0.000563482202731701	0.000555122354400718
P04803	Tryptophan--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSW1 PE=1 SV=2	MSW1	YDR268W	1.26248243358454e-05	1.29411818726682e-05	1.30890631661356e-05
P04806	Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK1 PE=1 SV=2	HXK1	YFR053C	7.6502566335718e-05	7.59619420652782e-05	7.59839460996277e-05
P04807	Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK2 PE=1 SV=4	HXK2	YGL253W	0.00143155219282008	0.00143018603611516	0.00143916803971245
P04817	Arginine permease CAN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAN1 PE=1 SV=2	CAN1	YEL063C	4.33233219130789e-05	4.41389418706239e-05	4.23135434943128e-05
P04819	DNA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC9 PE=1 SV=2	CDC9	YDL164C	2.05611644688358e-05	2.12680648992438e-05	2.06555066133648e-05
P04821	Cell division control protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC25 PE=1 SV=1	CDC25	YLR310C	2.44001658777116e-05	2.49739739559733e-05	2.4313477015156e-05
P04840	Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POR1 PE=1 SV=4	POR1	YNL055C	0.000956165678991533	0.000969374435820836	0.00093015266789007
P04912	Histone H2A.2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTA2 PE=1 SV=2	HTA2	YBL003C	0.000899270616598204	0.000932631852549052	0.000870550110903373
P05030	Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMA1 PE=1 SV=2	PMA1	YGL008C	0.0101839378122215	0.0101353790329827	0.0101931709983466
P05066	Deoxyribodipyrimidine photo-lyase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHR1 PE=1 SV=1	PHR1	YOR386W	2.44813599654979e-06	2.22573220084345e-06	2.63650983598934e-06
P05085	Arginine metabolism regulation protein II OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARG81 PE=1 SV=3	ARG81	YML099C	7.8594583501563e-06	7.41121219573468e-06	7.62741817979079e-06
P05150	Ornithine carbamoyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARG3 PE=1 SV=1	ARG3	YJL088W	0.000229996808235536	0.000228888251308577	0.000222377049011213
P05316	Uracil permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUR4 PE=3 SV=2	FUR4	YBR021W	2.15286639063034e-07	2.15295434442272e-07	2.14053514834321e-07
P05317	60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP0 PE=1 SV=2	RPP0	YLR340W	0.00775162673957745	0.00787651812014551	0.00769125324987731
P05318	60S acidic ribosomal protein P1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP1A PE=1 SV=4	RPP1A	YDL081C	0.0030236707050192	0.00319815165146022	0.00305775392553207
P05319	60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP2A PE=1 SV=1	RPP2A	YOL039W	0.00263846990534015	0.00267916951673489	0.00263131795049671
P05373	Delta-aminolevulinic acid dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEM2 PE=1 SV=2	HEM2	YGL040C	0.00026927402741083	0.000270377709117189	0.000267445307950004
P05374	Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHO2 PE=1 SV=1	CHO2	YGR157W	0.000149156485953072	0.000151537420725945	0.000147261408176936
P05375	Phosphatidyl-N-methylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OPI3 PE=1 SV=1	OPI3	YJR073C	0.000104512893399432	0.000107257242722947	0.000106932965653656
P05453	Eukaryotic peptide chain release factor GTP-binding subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUP35 PE=1 SV=1	SUP35	YDR172W	0.000252545323002037	0.000259054180772257	0.000248518121692375
P05626	ATP synthase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP4 PE=1 SV=2	ATP4	YPL078C	0.000180726957256704	0.000186466306627833	0.000178220371539323
P05694	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4	MET6	YER091C	0.0193524935611505	0.019316197025228	0.019201766802763
P05737	60S ribosomal protein L7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL7A PE=1 SV=3	RPL7A	YGL076C	0.00507111959219641	0.00499223656799877	0.004893905275926
P05738	60S ribosomal protein L9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL9A PE=1 SV=2	RPL9A	YGL147C	0.00285866015888805	0.00280966701647998	0.00262176404398712
P05739	60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL6B PE=1 SV=4	RPL6B	YLR448W	0.00187517545179936	0.00192331482966614	0.00188532748672008
P05740	60S ribosomal protein L17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL17A PE=1 SV=4	RPL17A	YKL180W	0.00352915354891099	0.00351599733944574	0.00342766419796306
P05743	60S ribosomal protein L26-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL26A PE=1 SV=3	RPL26A	YLR344W	0.000455046260356447	0.000508871543479575	0.000499028676405883
P05744	60S ribosomal protein L33-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL33A PE=1 SV=3	RPL33A	YPL143W	0.00123805254467252	0.00126667230665334	0.00125545045252352
P05745	60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36A PE=1 SV=3	RPL36A	YMR194W	0.000312950944410926	0.000335526692453751	0.000318292572755352
P05747	60S ribosomal protein L29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL29 PE=1 SV=3	RPL29	YFR032C-A	2.44399682037797e-05	2.06497522207036e-05	2.22508412957454e-05
P05748	60S ribosomal protein L15-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL15A PE=1 SV=3	RPL15A	YLR029C	0.00268285601428599	0.00276498842396993	0.00260238468519532
P05749	60S ribosomal protein L22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL22A PE=1 SV=3	RPL22A	YLR061W	0.000674250136068106	0.000755444792596275	0.000757269411250412
P05750	40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS3 PE=1 SV=5	RPS3	YNL178W	0.00565973560714244	0.00576484261994304	0.00573108449441393
P05755	40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9B PE=1 SV=4	RPS9B	YBR189W	0.00367525500899389	0.00403020451820633	0.00417443206712293
P05756	40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS13 PE=1 SV=3	RPS13	YDR064W	0.00277945759395234	0.00285187740808388	0.00284667893929606
