Accession	Description	PrimaryGeneName	GeneName	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW
O14467	Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2	MBF1	YOR298C-A	0.000135107427247935	0.000119244947351014	0.00012006757056611
O43137	Uncharacterized protein YBR085C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YBR085C-A PE=1 SV=1		YBR085C-A	1.13510261847862e-06	8.6338881964872e-07	8.95839463887188e-07
O60200	Mitochondrial distribution and morphology protein 35 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDM35 PE=1 SV=3	MDM35	YKL053C-A	9.93850322326326e-06	8.09259762127762e-06	8.65890065471174e-06
O74700	Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1	TIM9	YEL020W-A	7.54994213823617e-05	6.26063814671959e-05	6.2024699273513e-05
O75012	37S ribosomal protein MRP10, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MRP10 PE=1 SV=1	MRP10	YDL045W-A	3.83775720820714e-06	3.24853335693286e-06	3.2503505875468e-06
P00044	Cytochrome c iso-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2	CYC1	YJR048W	6.20294901564931e-05	5.79765384651054e-05	5.81750308635056e-05
P00127	Cytochrome b-c1 complex subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR6 PE=1 SV=2	QCR6	YFR033C	6.20785145889334e-05	5.30080461741111e-05	5.83906310634429e-05
P00128	Cytochrome b-c1 complex subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2	QCR7	YDR529C	8.75961946571543e-05	7.60002378599912e-05	8.43878321583432e-05
P00175	Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYB2 PE=1 SV=1	CYB2	YML054C	2.41754121002361e-05	2.23899622071811e-05	2.21948326650501e-05
P00330	Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	ADH1	YOL086C	0.012898047679331	0.0105527241351409	0.0116801574087782
P00358	Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3	TDH2	YJR009C	0.00287472578740604	0.00229989456155911	0.0026990415211961
P00359	Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3	TDH3	YGR192C	0.010528016616548	0.00893738943125843	0.00959602853918444
P00360	Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3	TDH1	YJL052W	4.58555920695965e-05	3.58831392700657e-05	4.15250739957453e-05
P00410	Cytochrome c oxidase subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX2 PE=1 SV=1	COX2	Q0250	0.000103216183996854	8.75483872864232e-05	9.34751069440704e-05
P00420	Cytochrome c oxidase subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX3 PE=1 SV=3	COX3	Q0275	4.80486443315018e-06	4.00528374658927e-06	4.1531113129837e-06
P00424	Cytochrome c oxidase polypeptide 5A, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX5A PE=1 SV=1	COX5A	YNL052W	3.52868199269142e-05	3.12599104472294e-05	3.21261825005703e-05
P00427	Cytochrome c oxidase subunit 6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX6 PE=1 SV=1	COX6	YHR051W	4.55184506017201e-05	3.57998746897183e-05	3.77165713853543e-05
P00431	Cytochrome c peroxidase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCP1 PE=1 SV=2	CCP1	YKR066C	1.22833616782748e-05	1.046137504177e-05	1.11011884039079e-05
P00445	Superoxide dismutase [Cu-Zn] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOD1 PE=1 SV=2	SOD1	YJR104C	0.000570659429716001	0.000462704899666159	0.000508854550419058
P00447	Superoxide dismutase [Mn], mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOD2 PE=1 SV=1	SOD2	YHR008C	3.04323093531015e-05	2.70873128732771e-05	2.77018093692872e-05
P00498	ATP phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS1 PE=1 SV=1	HIS1	YER055C	0.000262877934781646	0.000216827526374131	0.000229805527914372
P00546	Cyclin-dependent kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC28 PE=1 SV=1	CDC28	YBR160W	6.19959176797855e-05	5.24272903487553e-05	5.57556202266462e-05
P00549	Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	CDC19	YAL038W	0.0098701615211893	0.00841402449179525	0.00920957081645663
P00560	Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	PGK1	YCR012W	0.0112623082527862	0.00914132770638364	0.0103782740888323
P00724	Invertase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUC2 PE=1 SV=1	SUC2	YIL162W	1.50186659354014e-05	1.27391163626922e-05	1.37591671142225e-05
P00729	Carboxypeptidase Y OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PRC1 PE=1 SV=1	PRC1	YMR297W	1.72885636928992e-05	1.45897861213514e-05	1.60677188207006e-05
P00812	Arginase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAR1 PE=1 SV=1	CAR1	YPL111W	7.92976107665386e-06	6.46293278441002e-06	6.81629889447111e-06
P00815	Histidine biosynthesis trifunctional protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HIS4 PE=1 SV=3	HIS4	YCL030C	0.000922059089625007	0.000750722057679517	0.000829153889171272
P00817	Inorganic pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=IPP1 PE=1 SV=4	IPP1	YBR011C	0.00111837869733481	0.000933542676947559	0.00102682295529394
P00830	ATP synthase subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP2 PE=1 SV=2	ATP2	YJR121W	0.00114672790509374	0.000978452897806076	0.00104572816601876
P00890	Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIT1 PE=1 SV=2	CIT1	YNR001C	0.000216021473372926	0.000187891640920906	0.000200810464674424
P00899	Anthranilate synthase component 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP2 PE=1 SV=4	TRP2	YER090W	0.00011795192147166	9.68422701266804e-05	0.000106068559999299
P00912	N-(5'-phosphoribosyl)anthranilate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP1 PE=1 SV=2	TRP1	YDR007W	5.89580916316878e-07	4.95998376048344e-07	5.14880413224696e-07
P00924	Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3	ENO1	YGR254W	0.00413819898710265	0.00334748914296199	0.00379172066070864
P00925	Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2	ENO2	YHR174W	0.0166877361751697	0.0139871486351933	0.0154975779739093
P00927	Threonine dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ILV1 PE=1 SV=2	ILV1	YER086W	0.000214391631842183	0.000174665950285268	0.00018630810494324
P00931	Tryptophan synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP5 PE=1 SV=1	TRP5	YGL026C	0.000322679435439642	0.0002548022843307	0.000282127489696829
P00937	Multifunctional tryptophan biosynthesis protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRP3 PE=1 SV=2	TRP3	YKL211C	0.000122967263005425	9.9834970684255e-05	0.000109298866560174
P00942	Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPI1 PE=1 SV=2	TPI1	YDR050C	0.00387914558085968	0.00311311433185374	0.00353820075229519
P00950	Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3	GPM1	YKL152C	0.00374703097818922	0.00316331287769337	0.00329977966813071
P00958	Methionine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MES1 PE=1 SV=4	MES1	YGR264C	0.000190849992694076	0.000159735875484064	0.00016703295243972
P01097	ATPase inhibitor, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=INH1 PE=1 SV=2	INH1	YDL181W	1.63339849862337e-06	1.43329796572663e-06	1.4220919012728e-06
P01119	Ras-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAS1 PE=1 SV=2	RAS1	YOR101W	2.39519665458991e-05	2.01904885513983e-05	2.14679572770039e-05
P01120	Ras-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RAS2 PE=1 SV=4	RAS2	YNL098C	2.75153770090114e-05	2.30484331346323e-05	2.47636657570559e-05
P01123	GTP-binding protein YPT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPT1 PE=1 SV=2	YPT1	YFL038C	8.94772463658785e-05	7.72802497952986e-05	8.09488163647092e-05
P02293	Histone H2B.1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTB1 PE=1 SV=2	HTB1	YDR224C	0.00158963028967486	0.00140036107700161	0.00144862450090961
P02309	Histone H4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HHF1 PE=1 SV=2	"HHF1; HHF2"	"YBR009C; YNL030W"	0.000374369699597535	0.00032003112164374	0.000349385943577008
P02381	Ribosomal protein VAR1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VAR1 PE=1 SV=3	VAR1	Q0140	8.96948078849234e-06	7.81854861484383e-06	8.75606457274055e-06
P02400	60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP2B PE=1 SV=2	RPP2B	YDR382W	0.00109225720704804	0.000916945128838835	0.000999309658902231
P02406	60S ribosomal protein L28 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL28 PE=1 SV=3	RPL28	YGL103W	0.000750215117169184	0.000657346876354558	0.000727789356270402
P02557	Tubulin beta chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TUB2 PE=1 SV=2	TUB2	YFL037W	0.000142698528790871	0.000120545645236778	0.000137312655065053
P02829	ATP-dependent molecular chaperone HSP82 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HSP82 PE=1 SV=1	HSP82	YPL240C	0.0012260044128897	0.00113459445079853	0.00115245642624334
P02992	Elongation factor Tu, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TUF1 PE=1 SV=1	TUF1	YOR187W	0.000167472879977381	0.000138675827706279	0.000161275975681709
P02994	Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1	"TEF1; TEF2"	"YPR080W; YBR118W"	0.0225146703018701	0.0188108033226254	0.0206152566965195
P03871	Partitioning protein REP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=REP1 PE=1 SV=1	REP1	R0020C	7.27592131440762e-06	6.51058572033309e-06	7.5806383213203e-06
P03872	Partitioning protein REP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=REP2 PE=1 SV=1	REP2	R0040C	9.93337908673408e-06	8.19295033952442e-06	1.03154574819443e-05
P03874	Cytochrome B pre-mRNA-processing protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CBP2 PE=1 SV=2	CBP2	YHL038C	5.94224238366127e-06	5.04034482838201e-06	5.43281148543544e-06
P03962	Orotidine 5'-phosphate decarboxylase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=URA3 PE=1 SV=2	URA3	YEL021W	2.36388346171508e-05	1.99510754711034e-05	2.12596783358851e-05
P03965	Carbamoyl-phosphate synthase arginine-specific large chain OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CPA2 PE=1 SV=1	CPA2	YJR109C	0.00101848667563398	0.000822265933809476	0.000938062685443968
P04037	Cytochrome c oxidase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX4 PE=1 SV=1	COX4	YGL187C	4.23928740288787e-05	3.47428234552506e-05	3.72624511783533e-05
P04039	Cytochrome c oxidase polypeptide VIII, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=COX8 PE=1 SV=2	COX8	YLR395C	0.000115045085670923	0.000102841028593539	0.000107259307594123
P04046	Amidophosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE4 PE=1 SV=2	ADE4	YMR300C	0.000199513049029439	0.000169898522675843	0.000180135317072452
P04050	DNA-directed RNA polymerase II subunit RPB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO21 PE=1 SV=2	RPO21	YDL140C	0.000146734838090921	0.000123830772401615	0.000132347502166867
P04051	DNA-directed RNA polymerase III subunit RPC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPO31 PE=1 SV=1	RPO31	YOR116C	3.81840568971135e-05	3.2482699999963e-05	3.45103130953568e-05
P04076	Argininosuccinate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARG4 PE=1 SV=2	ARG4	YHR018C	0.000287681672263705	0.000234459825528818	0.000253728924488266
P04147	Polyadenylate-binding protein, cytoplasmic and nuclear OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAB1 PE=1 SV=4	PAB1	YER165W	0.000560309953978015	0.000472792664929273	0.000505325455645359
P04161	Phosphoribosylglycinamide formyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADE8 PE=1 SV=1	ADE8	YDR408C	5.00361255019826e-05	4.18027148516991e-05	4.50404231329396e-05
P04173	3-isopropylmalate dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=LEU2 PE=1 SV=4	LEU2	YCL018W	0.000378546879852092	0.00031755752958872	0.000337690657129827
P04449	60S ribosomal protein L24-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL24A PE=1 SV=1	RPL24A	YGL031C	0.000398672737307925	0.000350355464028927	0.000357695965060081
P04456	60S ribosomal protein L25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL25 PE=1 SV=4	RPL25	YOL127W	0.00132465179343013	0.00113593373582386	0.00121644209778305
P04650	60S ribosomal protein L39 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL39 PE=1 SV=3	RPL39	YJL189W	4.44150107573896e-05	4.16366875813193e-05	4.67904629927308e-05
P04786	DNA topoisomerase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOP1 PE=1 SV=2	TOP1	YOL006C	9.44847275459962e-06	8.46081041504089e-06	8.94527292493362e-06
P04801	Threonine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THS1 PE=1 SV=2	THS1	YIL078W	0.000330702321304263	0.000283636561769513	0.000301923767829271
P04802	Aspartate--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DPS1 PE=1 SV=3	DPS1	YLL018C	0.000288915864105711	0.000250083814706354	0.000265403482056612
P04803	Tryptophan--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MSW1 PE=1 SV=2	MSW1	YDR268W	6.61987228643156e-06	5.74353566773886e-06	6.25786894296766e-06
P04806	Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK1 PE=1 SV=2	HXK1	YFR053C	4.01143972584866e-05	3.37133136629571e-05	3.63278540584332e-05
P04807	Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK2 PE=1 SV=4	HXK2	YGL253W	0.000750639568181792	0.0006347429926225	0.000688064903126841
P04817	Arginine permease CAN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CAN1 PE=1 SV=2	CAN1	YEL063C	2.27167404836084e-05	1.95896780884906e-05	2.02300658449758e-05
P04819	DNA ligase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC9 PE=1 SV=2	CDC9	YDL164C	1.07813209295552e-05	9.43916023547902e-06	9.87537852758343e-06
P04821	Cell division control protein 25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC25 PE=1 SV=1	CDC25	YLR310C	1.2794315198476e-05	1.10839111599426e-05	1.16242507792575e-05
P04840	Mitochondrial outer membrane protein porin 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=POR1 PE=1 SV=4	POR1	YNL055C	0.000501368930862768	0.000430226288627475	0.000444705126618034
P04912	Histone H2A.2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HTA2 PE=1 SV=2	HTA2	YBL003C	0.000471535799188768	0.000413919251169632	0.000416209199479909
P05030	Plasma membrane ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PMA1 PE=1 SV=2	PMA1	YGL008C	0.00533998461257424	0.004498268516335	0.00487334558717271
P05066	Deoxyribodipyrimidine photo-lyase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PHR1 PE=1 SV=1	PHR1	YOR386W	1.28368896119696e-06	9.87821082197924e-07	1.2605129038687e-06
P05085	Arginine metabolism regulation protein II OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARG81 PE=1 SV=3	ARG81	YML099C	4.12113540232311e-06	3.28923293144376e-06	3.6466615476218e-06
P05150	Ornithine carbamoyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ARG3 PE=1 SV=1	ARG3	YJL088W	0.00012059965796777	0.000101584835778692	0.000106318260594576
P05316	Uracil permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUR4 PE=3 SV=2	FUR4	YBR021W	1.12886327576529e-07	9.55520924585822e-08	1.02338786635273e-07
P05317	60S acidic ribosomal protein P0 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP0 PE=1 SV=2	RPP0	YLR340W	0.0040645935074434	0.00349574429953667	0.00367718103534192
P05318	60S acidic ribosomal protein P1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP1A PE=1 SV=4	RPP1A	YDL081C	0.00158547266646869	0.00141939880466362	0.00146190931183916
P05319	60S acidic ribosomal protein P2-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPP2A PE=1 SV=1	RPP2A	YOL039W	0.00138349123443668	0.0011890649424984	0.00125803066823675
P05373	Delta-aminolevulinic acid dehydratase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HEM2 PE=1 SV=2	HEM2	YGL040C	0.000141194809851855	0.000119998623878077	0.000127865353335052
P05374	Phosphatidylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CHO2 PE=1 SV=1	CHO2	YGR157W	7.82107426951491e-05	6.72551077251158e-05	7.04055424770483e-05
P05375	Phosphatidyl-N-methylethanolamine N-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=OPI3 PE=1 SV=1	OPI3	YJR073C	5.48017135276321e-05	4.76027464310379e-05	5.11245515626161e-05
P05453	Eukaryotic peptide chain release factor GTP-binding subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SUP35 PE=1 SV=1	SUP35	YDR172W	0.00013242305321131	0.000114973032740135	0.00011881628316433
P05626	ATP synthase subunit 4, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ATP4 PE=1 SV=2	ATP4	YPL078C	9.47648334684444e-05	8.27571927731261e-05	8.52069941067723e-05
P05694	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MET6 PE=1 SV=4	MET6	YER091C	0.0101475499690766	0.00857288520253165	0.00918034687432824
P05737	60S ribosomal protein L7-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL7A PE=1 SV=3	RPL7A	YGL076C	0.002659059893154	0.00221564684525829	0.00233977156709564
P05738	60S ribosomal protein L9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL9A PE=1 SV=2	RPL9A	YGL147C	0.00149894878999771	0.00124698214447511	0.00125346295440792
P05739	60S ribosomal protein L6-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL6B PE=1 SV=4	RPL6B	YLR448W	0.000983255027978343	0.00085360266420558	0.000901373320360565
P05740	60S ribosomal protein L17-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL17A PE=1 SV=4	RPL17A	YKL180W	0.00185052442327175	0.00156046459477026	0.00163876306952593
P05743	60S ribosomal protein L26-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL26A PE=1 SV=3	RPL26A	YLR344W	0.000238605151869327	0.000225846594926933	0.000238585146705547
P05744	60S ribosomal protein L33-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL33A PE=1 SV=3	RPL33A	YPL143W	0.000649177328064176	0.00056217257775858	0.000600229695323653
P05745	60S ribosomal protein L36-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36A PE=1 SV=3	RPL36A	YMR194W	0.000164096959197789	0.00014891294663408	0.000152175383412949
P05747	60S ribosomal protein L29 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL29 PE=1 SV=3	RPL29	YFR032C-A	1.28151856920579e-05	9.16474164234331e-06	1.06381065575266e-05
P05748	60S ribosomal protein L15-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL15A PE=1 SV=3	RPL15A	YLR029C	0.0014067652511435	0.00122715295946011	0.00124419770096858
P05749	60S ribosomal protein L22-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL22A PE=1 SV=3	RPL22A	YLR061W	0.000353545496645604	0.000335280359551093	0.000362049802187826
P05750	40S ribosomal protein S3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS3 PE=1 SV=5	RPS3	YNL178W	0.00296770282877312	0.00255854368884758	0.00274002617390569
P05755	40S ribosomal protein S9-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9B PE=1 SV=4	RPS9B	YBR189W	0.00192713325210622	0.00178867924323729	0.00199579209419381
P05756	40S ribosomal protein S13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS13 PE=1 SV=3	RPS13	YDR064W	0.00145741863871128	0.00126571589631567	0.00136099455696036
